ObsDate,Holiday
1/01/20,New Year's Day
2/01/20,Day after New Year's Day
27/01/20,Auckland Anniversary
6/02/20,Waitangi Day
10/04/20,Good Friday
13/04/20,Easter Monday
27/04/20,ANZAC Day
1/06/20,Queen's Birthday
26/10/20,Labour Day
25/12/20,Christmas Day
28/12/20,Boxing Day
1/01/21,New Year's Day
4/01/21,Day after New Year's Day
1/02/21,Auckland Anniversary
2/04/21,Good Friday
5/04/21,Easter Monday
26/04/21,ANZAC Day
7/06/21,Queen's Birthday
25/10/21,Labour Day
8/12/21,Waitangi Day
27/12/21,Christmas Day
28/12/21,Boxing Day
3/01/22,New Year's Day
4/01/22,Day after New Year's Day
7/01/22,Waitangi Day
31/01/22,Auckland Anniversary
15/04/22,Good Friday
18/04/22,Easter Monday
25/04/22,ANZAC Day
6/06/22,Queen's Birthday
24/06/22,Matariki
26/09/22,QEII Memorial Day
26/10/22,Labour Day
26/12/22,Boxing Day
27/12/22,Christmas Day
2/01/23,New Year's Day
3/01/23,Day after New Year's Day
30/01/23,Auckland Anniversary
6/02/23,Waitangi Day
7/04/23,Good Friday
10/04/23,Easter Monday
25/04/23,ANZAC Day
5/06/23,King's Birthday
14/07/23,Matariki
23/10/23,Labour Day
25/12/23,Christmas Day
26/12/23,Boxing Day
1/01/24,New Year's Day
2/01/24,Day after New Year's Day
29/01/24,Auckland Anniversary
6/02/24,Waitangi Day
26/03/24,Good Friday
1/04/24,Easter Monday
25/04/24,ANZAC Day
3/06/24,King's Birthday
28/06/24,Matariki
28/10/24,Labour Day
25/12/24,Christmas Day
26/12/24,Boxing Day
