Station,Date,Hour,Tdry,Twet,RH,Tdew
41351,20220101,0,17.9,15.3,75,13.4
41351,20220101,1,17.9,15.5,76,13.6
41351,20220101,2,17.8,15.4,76,13.5
41351,20220101,3,17.2,15.1,79,13.5
41351,20220101,4,16.8,14.7,79,13.1
41351,20220101,5,16.9,15,81,13.6
41351,20220101,6,18.2,15.6,75,13.7
41351,20220101,7,18.9,15.7,70,13.3
41351,20220101,8,19.9,16.1,66,13.4
41351,20220101,9,21.2,16.9,63,13.9
41351,20220101,10,22,17.4,61,14.1
41351,20220101,11,22.5,17.8,61,14.6
41351,20220101,12,23.1,17.9,58,14.4
41351,20220101,13,23.3,18.1,58,14.6
41351,20220101,14,23.6,18.4,58,14.9
41351,20220101,15,23.4,18.2,58,14.7
41351,20220101,16,22.9,18.3,62,15.3
41351,20220101,17,22.7,18.2,63,15.3
41351,20220101,18,20.9,17.5,70,15.2
41351,20220101,19,20.4,17.4,73,15.4
41351,20220101,20,19.2,16.9,78,15.3
41351,20220101,21,19,17.1,82,15.9
41351,20220101,22,18.7,17.2,85,16.1
41351,20220101,23,18.5,17.2,87,16.3
41351,20220102,0,18,16.9,89,16.2
41351,20220102,1,17.1,16.3,92,15.8
41351,20220102,2,16.4,15.7,93,15.3
41351,20220102,3,15.8,15.3,94,14.9
41351,20220102,4,15.9,15.4,95,15.1
41351,20220102,5,16,15.5,95,15.2
41351,20220102,6,17.5,17,95,16.7
41351,20220102,7,21.6,18.8,75,17
41351,20220102,8,22.7,19.1,70,17
41351,20220102,9,23.8,18.8,60,15.6
41351,20220102,10,25.2,19.7,58,16.4
41351,20220102,11,25.5,19.8,57,16.4
41351,20220102,12,25.6,19.5,54,15.6
41351,20220102,13,25.5,19.8,57,16.4
41351,20220102,14,26,18.6,46,13.5
41351,20220102,15,25.9,18.8,48,14.1
41351,20220102,16,25.5,17.6,42,11.7
41351,20220102,17,25,17.9,47,12.9
41351,20220102,18,23.9,18.3,56,14.6
41351,20220102,19,22,18,66,15.4
41351,20220102,20,21.2,18,72,16
41351,20220102,21,20.5,17.6,74,15.7
41351,20220102,22,20.1,17.9,80,16.6
41351,20220102,23,19.8,17.7,80,16.3
41351,20220103,0,18.9,17,82,15.8
41351,20220103,1,18.8,17,83,15.9
41351,20220103,2,18.4,16.7,83,15.5
41351,20220103,3,16.9,15.8,89,15.1
41351,20220103,4,16.3,15.6,92,15
41351,20220103,5,15.9,15.3,93,14.8
41351,20220103,6,17.2,16,88,15.2
41351,20220103,7,20.5,17.6,74,15.7
41351,20220103,8,22,18,66,15.4
41351,20220103,9,23.4,18,57,14.4
41351,20220103,10,24.2,18.4,55,14.6
41351,20220103,11,25.2,17.9,46,12.8
41351,20220103,12,25.4,18.7,50,14.2
41351,20220103,13,26.2,18.7,46,13.7
41351,20220103,14,26.4,18.9,46,13.9
41351,20220103,15,26,20.1,56,16.6
41351,20220103,16,25.8,20.1,57,16.6
41351,20220103,17,24.8,18.8,54,14.9
41351,20220103,18,24.3,19.1,59,15.8
41351,20220103,19,22.8,18.6,65,15.9
41351,20220103,20,21,18.4,77,16.8
41351,20220103,21,20.4,18.2,80,16.8
41351,20220103,22,20,18.2,83,17
41351,20220103,23,19.4,17.9,86,17
41351,20220104,0,19.2,18,88,17.2
41351,20220104,1,18.6,17.5,89,16.8
41351,20220104,2,18.3,17.6,93,17.2
41351,20220104,3,17.7,17.1,94,16.7
41351,20220104,4,16.9,16.5,96,16.3
41351,20220104,5,16.1,15.7,96,15.5
41351,20220104,6,17,16.7,97,16.5
41351,20220104,7,20.5,19.2,88,18.5
41351,20220104,8,22.4,20.1,80,18.8
41351,20220104,9,23.1,20.4,77,18.9
41351,20220104,10,25.2,20.6,64,17.9
41351,20220104,11,26.5,19.5,49,14.9
41351,20220104,12,27.4,20.7,52,16.7
41351,20220104,13,27,20.7,54,16.9
41351,20220104,14,28.1,20.9,50,16.7
41351,20220104,15,27.4,21,54,17.3
41351,20220104,16,27.3,19.5,45,14.3
41351,20220104,17,25.8,19.3,52,15.2
41351,20220104,18,25.3,20,59,16.7
41351,20220104,19,22.9,18.2,61,15
41351,20220104,20,21.1,18.4,76,16.7
41351,20220104,21,20.1,18.6,86,17.7
41351,20220104,22,20.1,18.8,88,18.1
41351,20220104,23,19.6,18.5,89,17.7
41351,20220105,0,19.2,18.2,90,17.5
41351,20220105,1,18,17.2,92,16.7
41351,20220105,2,17.5,17,95,16.7
41351,20220105,3,18.1,17.5,94,17.1
41351,20220105,4,17.6,16.9,93,16.5
41351,20220105,5,16.6,16.1,95,15.8
41351,20220105,6,18,17.5,95,17.2
41351,20220105,7,19.9,18.7,89,18
41351,20220105,8,21.7,19,76,17.3
41351,20220105,9,23.7,19.5,66,17
41351,20220105,10,24,19.8,66,17.3
41351,20220105,11,24.6,19.8,62,16.8
41351,20220105,12,25.1,19.6,58,16.3
41351,20220105,13,26,20,55,16.3
41351,20220105,14,24.4,19,58,15.6
41351,20220105,15,25.2,20,60,16.9
41351,20220105,16,24,19.3,62,16.3
41351,20220105,17,23.8,19.1,62,16.1
41351,20220105,18,23.4,19.3,66,16.7
41351,20220105,19,20.7,17.6,72,15.5
41351,20220105,20,19.3,17,78,15.4
41351,20220105,21,18.9,17,82,15.8
41351,20220105,22,18.7,16.8,82,15.6
41351,20220105,23,18.9,17,82,15.8
41351,20220106,0,19.6,17.4,79,15.9
41351,20220106,1,19.9,17.6,79,16.2
41351,20220106,2,19.9,17.2,75,15.4
41351,20220106,3,19.2,16.8,77,15.1
41351,20220106,4,18.9,16.8,80,15.4
41351,20220106,5,18.4,16.7,83,15.5
41351,20220106,6,19,17.1,82,15.9
41351,20220106,7,19.7,17.3,78,15.8
41351,20220106,8,20.6,17.6,73,15.6
41351,20220106,9,21.5,18.1,70,15.8
41351,20220106,10,22.6,18.3,64,15.5
41351,20220106,11,24.3,19.6,63,16.8
41351,20220106,12,24.4,19,58,15.6
41351,20220106,13,24.2,18.7,57,15.2
41351,20220106,14,25.6,20.4,60,17.3
41351,20220106,15,24.9,19.3,57,15.8
41351,20220106,16,24.4,19.3,60,16.1
41351,20220106,17,24.1,18.8,58,15.3
41351,20220106,18,23.2,18.9,65,16.3
41351,20220106,19,21.6,18.8,75,17
41351,20220106,20,20.9,19.2,84,18.1
41351,20220106,21,20.4,18.6,83,17.4
41351,20220106,22,20.1,18.6,86,17.7
41351,20220106,23,20.1,18.4,84,17.3
41351,20220107,0,19.1,18.1,90,17.4
41351,20220107,1,18.2,17.5,93,17.1
41351,20220107,2,18.8,18,92,17.5
41351,20220107,3,19,18,90,17.3
41351,20220107,4,20.1,18.7,87,17.9
41351,20220107,5,19.5,18.4,89,17.6
41351,20220107,6,19.9,18.3,85,17.3
41351,20220107,7,20.2,18.3,82,17
41351,20220107,8,20.6,18,76,16.2
41351,20220107,9,22.1,18.5,69,16.1
41351,20220107,10,21.7,18.5,72,16.4
41351,20220107,11,22,18.4,69,16.1
41351,20220107,12,22.3,18.4,67,15.9
41351,20220107,13,22.6,18.5,66,15.9
41351,20220107,14,22.4,18.4,66,15.7
41351,20220107,15,22,18,66,15.4
41351,20220107,16,22.5,18.2,64,15.4
41351,20220107,17,22.4,18.1,64,15.3
41351,20220107,18,21.8,18.1,68,15.6
41351,20220107,19,20.6,17.8,75,16
41351,20220107,20,20,17.4,76,15.6
41351,20220107,21,19.6,17.6,81,16.3
41351,20220107,22,19.4,17.3,80,15.9
41351,20220107,23,19.5,17.5,81,16.2
41351,20220108,0,19.2,17.3,82,16.1
41351,20220108,1,18.5,17.1,86,16.1
41351,20220108,2,17.3,16.3,90,15.6
41351,20220108,3,16.7,15.9,92,15.4
41351,20220108,4,16.9,16.2,93,15.8
41351,20220108,5,16.4,15.8,94,15.4
41351,20220108,6,16.6,16.1,95,15.8
41351,20220108,7,19.5,17.7,83,16.6
41351,20220108,8,20.9,18.3,77,16.7
41351,20220108,9,22.8,18.6,65,15.9
41351,20220108,10,23.1,17.8,57,14.1
41351,20220108,11,24.5,18.4,53,14.3
41351,20220108,12,25.6,19.6,55,15.9
41351,20220108,13,25.2,19.4,56,15.8
41351,20220108,14,24.2,19.1,60,15.9
41351,20220108,15,23.8,18.9,61,15.8
41351,20220108,16,25.5,18.6,49,14
41351,20220108,17,25.7,19.9,56,16.3
41351,20220108,18,25.2,18.2,48,13.4
41351,20220108,19,23.1,18.9,65,16.2
41351,20220108,20,21.9,17.9,66,15.3
