"Station,Date,Time,Dir,Spd,DirStdDev,SpdStdDev,Period,Freq"
"39915,20220101,0000,196,12.3,3.1,1.1,1,H"
"39915,20220101,0100,194,12.4,2.9,1.2,1,H"
"39915,20220101,0200,194,11.9,2.6,1.0,1,H"
"39915,20220101,0300,194,11.6,2.6,1.3,1,H"
"39915,20220101,0400,196,10.9,2.5,1.0,1,H"
"39915,20220101,0500,195,9.7,2.6,0.9,1,H"
"39915,20220101,0600,196,10.1,2.9,0.7,1,H"
"39915,20220101,0700,200,9.4,4.9,1.4,1,H"
"39915,20220101,0800,195,9.7,6.9,1.3,1,H"
"39915,20220101,0900,201,10.6,8.1,1.4,1,H"
"39915,20220101,1000,197,10.4,8.9,1.3,1,H"
"39915,20220101,1100,198,10.9,8.3,1.5,1,H"
"39915,20220101,1200,201,11.2,9.2,1.4,1,H"
"39915,20220101,1300,199,12.4,6.9,1.4,1,H"
"39915,20220101,1400,202,10.9,8.4,1.6,1,H"
"39915,20220101,1500,204,11.3,7.8,1.5,1,H"
"39915,20220101,1600,201,12.6,8.7,1.6,1,H"
"39915,20220101,1700,201,12.0,7.6,1.9,1,H"
"39915,20220101,1800,201,10.8,8.6,1.8,1,H"
"39915,20220101,1900,198,12.2,3.9,1.1,1,H"
"39915,20220101,2000,191,11.4,4.8,1.8,1,H"
"39915,20220101,2100,184,10.9,2.9,0.9,1,H"
"39915,20220101,2200,181,8.3,4.7,1.2,1,H"
"39915,20220101,2300,171,7.2,15.2,2.2,1,H"
"39915,20220102,0000,124,2.2,30.3,1.0,1,H"
"39915,20220102,0100,89,5.4,9.3,1.1,1,H"
"39915,20220102,0200,76,9.2,3.1,1.2,1,H"
"39915,20220102,0300,73,11.4,1.1,0.4,1,H"
"39915,20220102,0400,69,10.8,1.8,1.0,1,H"
"39915,20220102,0500,71,10.1,2.6,0.5,1,H"
"39915,20220102,0600,75,9.8,2.0,0.7,1,H"
"39915,20220102,0700,74,10.2,1.8,0.8,1,H"
"39915,20220102,0800,71,8.5,2.8,1.1,1,H"
"39915,20220102,0900,69,7.7,2.9,0.5,1,H"
"39915,20220102,1000,71,8.0,3.9,0.7,1,H"
"39915,20220102,1100,66,8.7,3.1,0.6,1,H"
"39915,20220102,1200,63,9.5,3.8,0.7,1,H"
"39915,20220102,1300,61,9.5,4.9,0.9,1,H"
"39915,20220102,1400,60,10.2,4.6,0.9,1,H"
"39915,20220102,1500,62,10.9,4.1,1.1,1,H"
"39915,20220102,1600,65,11.8,3.6,1.0,1,H"
"39915,20220102,1700,64,10.2,3.7,0.7,1,H"
"39915,20220102,1800,60,9.7,4.4,0.7,1,H"
"39915,20220102,1900,56,8.8,4.9,0.8,1,H"
"39915,20220102,2000,54,9.0,3.5,0.8,1,H"
"39915,20220102,2100,61,10.2,4.0,0.9,1,H"
"39915,20220102,2200,66,9.4,2.0,1.0,1,H"
"39915,20220102,2300,67,8.4,3.0,0.6,1,H"
"39915,20220103,0000,70,7.7,2.4,0.5,1,H"
"39915,20220103,0100,71,7.1,3.3,0.7,1,H"
"39915,20220103,0200,71,7.5,2.5,0.5,1,H"
"39915,20220103,0300,77,7.7,3.2,0.7,1,H"
"39915,20220103,0400,80,7.4,2.4,0.7,1,H"
"39915,20220103,0500,79,6.6,2.8,0.7,1,H"
"39915,20220103,0600,80,6.1,1.9,0.6,1,H"
"39915,20220103,0700,80,5.9,2.0,0.6,1,H"
"39915,20220103,0800,77,7.0,5.4,1.4,1,H"
"39915,20220103,0900,79,5.1,9.2,1.1,1,H"
"39915,20220103,1000,77,4.8,8.5,0.9,1,H"
"39915,20220103,1100,73,4.7,10.5,0.9,1,H"
"39915,20220103,1200,53,4.8,12.8,0.9,1,H"
"39915,20220103,1300,23,3.9,13.6,0.8,1,H"
"39915,20220103,1400,34,3.4,16.6,0.8,1,H"
"39915,20220103,1500,41,2.8,18.8,0.8,1,H"
"39915,20220103,1600,78,2.1,59.3,1.3,1,H"
"39915,20220103,1700,185,4.1,64.2,2.2,1,H"
"39915,20220103,1800,192,6.5,6.0,0.8,1,H"
"39915,20220103,1900,191,6.5,5.7,0.8,1,H"
"39915,20220103,2000,197,8.9,4.2,1.0,1,H"
"39915,20220103,2100,198,9.1,3.3,0.9,1,H"
"39915,20220103,2200,197,7.8,2.6,0.5,1,H"
"39915,20220103,2300,198,6.1,4.7,1.2,1,H"
"39915,20220104,0000,201,6.0,4.0,0.6,1,H"
"39915,20220104,0100,195,4.8,4.7,0.6,1,H"
"39915,20220104,0200,194,3.7,6.1,0.7,1,H"
"39915,20220104,0300,207,4.0,4.4,0.3,1,H"
"39915,20220104,0400,206,4.3,4.6,0.7,1,H"
"39915,20220104,0500,200,3.5,7.4,0.8,1,H"
"39915,20220104,0600,178,2.1,9.1,0.3,1,H"
"39915,20220104,0700,165,1.4,8.9,0.4,1,H"
"39915,20220104,0800,136,1.0,32.0,0.6,1,H"
"39915,20220104,0900,109,1.1,22.6,0.8,1,H"
"39915,20220104,1000,104,1.0,34.0,0.9,1,H"
"39915,20220104,1100,46,2.6,13.7,1.2,1,H"
"39915,20220104,1200,37,2.4,11.7,0.8,1,H"
"39915,20220104,1300,41,3.1,12.4,0.9,1,H"
"39915,20220104,1400,31,2.2,17.3,1.0,1,H"
"39915,20220104,1500,57,2.7,35.4,0.9,1,H"
"39915,20220104,1600,187,2.3,32.3,1.7,1,H"
"39915,20220104,1700,185,4.3,11.3,0.8,1,H"
"39915,20220104,1800,177,2.2,21.8,1.0,1,H"
"39915,20220104,1900,185,2.3,18.4,0.8,1,H"
"39915,20220104,2000,196,2.8,16.3,0.9,1,H"
"39915,20220104,2100,180,3.5,12.5,0.9,1,H"
"39915,20220104,2200,190,3.3,12.1,1.1,1,H"
"39915,20220104,2300,198,6.1,5.4,1.1,1,H"
"39915,20220105,0000,169,2.8,18.9,1.4,1,H"
"39915,20220105,0100,104,1.5,24.0,1.0,1,H"
"39915,20220105,0200,155,2.3,28.8,1.1,1,H"
"39915,20220105,0300,170,2.5,15.0,1.1,1,H"
"39915,20220105,0400,170,2.3,11.8,0.8,1,H"
"39915,20220105,0500,179,2.7,5.9,0.6,1,H"
"39915,20220105,0600,183,3.5,6.6,0.9,1,H"
"39915,20220105,0700,193,6.1,5.8,0.8,1,H"
"39915,20220105,0800,185,4.5,9.9,1.0,1,H"
"39915,20220105,0900,196,4.9,13.0,0.8,1,H"
"39915,20220105,1000,197,5.2,12.7,1.1,1,H"
"39915,20220105,1100,193,5.9,9.4,1.0,1,H"
"39915,20220105,1200,194,5.3,11.6,1.2,1,H"
"39915,20220105,1300,196,6.2,10.8,1.2,1,H"
"39915,20220105,1400,196,7.4,6.5,1.0,1,H"
"39915,20220105,1500,198,9.1,5.9,1.0,1,H"
"39915,20220105,1600,200,8.5,5.7,1.2,1,H"
"39915,20220105,1700,204,10.1,5.4,1.1,1,H"
"39915,20220105,1800,208,8.1,5.4,0.8,1,H"
"39915,20220105,1900,211,8.9,5.2,1.0,1,H"
"39915,20220105,2000,213,9.7,5.2,1.0,1,H"
"39915,20220105,2100,209,9.7,4.3,0.9,1,H"
"39915,20220105,2200,212,9.8,4.9,1.2,1,H"
"39915,20220105,2300,215,9.2,4.4,0.9,1,H"
"39915,20220106,0000,204,12.1,4.4,1.2,1,H"
"39915,20220106,0100,197,9.2,4.4,1.3,1,H"
"39915,20220106,0200,203,9.0,7.4,1.2,1,H"
"39915,20220106,0300,212,7.7,6.5,1.3,1,H"
"39915,20220106,0400,208,7.9,6.8,0.7,1,H"
"39915,20220106,0500,208,8.7,7.1,0.8,1,H"
"39915,20220106,0600,203,7.4,5.4,1.5,1,H"
"39915,20220106,0700,222,5.3,11.9,0.7,1,H"
"39915,20220106,0800,213,5.9,8.6,1.0,1,H"
"39915,20220106,0900,206,7.6,8.1,1.8,1,H"
"39915,20220106,1000,207,5.1,13.8,1.0,1,H"
"39915,20220106,1100,206,5.4,16.4,1.2,1,H"
"39915,20220106,1200,196,7.9,6.7,1.5,1,H"
"39915,20220106,1300,198,8.9,7.5,1.0,1,H"
"39915,20220106,1400,203,8.7,9.3,1.2,1,H"
"39915,20220106,1500,194,8.1,6.0,1.0,1,H"
"39915,20220106,1600,194,7.8,6.6,1.1,1,H"
"39915,20220106,1700,196,7.9,5.5,0.8,1,H"
"39915,20220106,1800,201,8.8,6.4,1.1,1,H"
"39915,20220106,1900,200,9.0,6.9,1.0,1,H"
"39915,20220106,2000,192,9.6,4.0,1.2,1,H"
"39915,20220106,2100,191,9.7,4.1,1.0,1,H"
"39915,20220106,2200,191,8.8,3.0,1.2,1,H"
"39915,20220106,2300,193,6.4,5.5,0.9,1,H"
"39915,20220107,0000,146,2.1,29.0,1.4,1,H"
"39915,20220107,0100,81,1.6,20.9,1.1,1,H"
"39915,20220107,0200,53,3.0,12.0,1.1,1,H"
"39915,20220107,0300,59,7.1,5.2,1.4,1,H"
"39915,20220107,0400,65,6.7,5.5,0.6,1,H"
"39915,20220107,0500,63,7.4,4.9,1.3,1,H"
"39915,20220107,0600,65,8.5,4.6,1.0,1,H"
"39915,20220107,0700,64,8.2,5.4,0.9,1,H"
"39915,20220107,0800,70,8.2,5.3,0.8,1,H"
"39915,20220107,0900,63,9.1,6.0,0.7,1,H"
"39915,20220107,1000,53,8.6,5.9,0.9,1,H"
"39915,20220107,1100,54,7.3,7.4,0.8,1,H"
"39915,20220107,1200,42,5.9,9.2,0.9,1,H"
"39915,20220107,1300,43,5.4,12.1,0.9,1,H"
"39915,20220107,1400,34,5.1,8.6,0.8,1,H"
"39915,20220107,1500,29,5.4,6.9,0.7,1,H"
"39915,20220107,1600,24,5.9,6.1,0.7,1,H"
"39915,20220107,1700,17,5.9,6.7,0.7,1,H"
"39915,20220107,1800,15,6.8,4.9,0.6,1,H"
"39915,20220107,1900,13,6.1,5.9,1.1,1,H"
"39915,20220107,2000,3,5.4,5.7,0.5,1,H"
"39915,20220107,2100,356,4.7,7.0,0.6,1,H"
"39915,20220107,2200,340,4.0,10.0,0.7,1,H"
"39915,20220107,2300,347,4.5,8.5,0.6,1,H"
"39915,20220108,0000,344,2.9,15.2,1.0,1,H"
"39915,20220108,0100,332,3.2,10.9,0.8,1,H"
"39915,20220108,0200,322,3.3,9.8,0.7,1,H"
"39915,20220108,0300,293,2.8,16.7,1.4,1,H"
